id,option_A,option_B,option_C,option_D,option_E,option_F,option_G
542,A、医务室,B、阴凉处,C、现场,,,,
543,A、分包,B、总包,C、建设单位,,,,
544,A、导电粉尘或纤维,B、强光辐射,C、热气,,,,
548,A、安全鉴定证,B、生产许可证,C、检验合格证,D、产品合格证,,,
550,A、电流大，电压高,B、电流小，电压高,C、电流大，电压低,,,,
555,A、用手揉眼，把异物揉出来,B、反复眨眼，用眼泪将异物冲出来,C、用清水冲洗眼睛,,,,
557,A、一年,B、两年,C、半年,,,,
561,A、当处于烟火中，烟太浓，卧地爬行，并用湿毛巾蒙着口鼻,B、遇山林火灾时，朝下风向跑,C、遇山林火灾时，朝上风向跑,,,,
562,A、危险报警闪光灯,B、示廓灯和后位灯,C、防雾灯,,,,
563,A、记大过,B、开除,C、追究刑事责任,,,,
564,A、在上方有人,B、在周围的人,C、在同一垂直方向上,,,,
566,A、窗口,B、地面,C、墙角,,,,
570,A、生产经营单位,B、从业人员,C、安全生产,,,,
571,A、佩戴安全带,B、佩戴安全帽,C、佩戴安全帽和安全带,D、佩戴安全带和安全帽，穿防滑鞋和紧口工作服,,,
572,A、驶离,B、协商,C、查看,,,,
573,A、指造成30人以上死亡，或者100人以上重伤(包括急性工业中毒，下同)，或者1亿元以上直接经济损失的事故。,B、指造成10人以上30人以下死亡，或者50人以上100人以下重伤，或者5000万元以上1亿元以下直接经济损失的事故。,C、指造成3人以上10人以下死亡，或者10人以上50人以下重伤，或者1000万元以上5000万元以下直接经济损失的事故。,D、指造成3人以下死亡，或者10人以下重伤，或者1000万元以下直接经济损失的事故。,,,
575,A、36,B、220,C、数万,,,,
579,A、0.3米,B、0.5米,C、0.7米,D、1.0米,,,
582,A、3,B、5,C、8,,,,
587,A、控制机房内,B、出入口下端明显位置处,C、扶手带上,,,,
588,A、照明,B、设备,C、电气,D、空调,,,
589,A、公安机关,B、人民法院,C、生产安全监察部门,,,,
590,A、5～7,B、10～12,C、15～20,,,,
591,A、技术、管理,B、专业、职能,C、管理、设计,D、整体、细节,,,
594,A、15,B、30,C、150,,,,
597,A、主要,B、全部,C、全面,D、部分,,,
598,A、民事责任,B、财产责任,C、其他法律责任,,,,
600,A、瓶帽,B、防震圈,C、爆破片,,,,
601,A、CO2灭火器,B、水,C、湿棉被,D、汽油,,,
605,A、反光外套或挂带,B、防毒面具,C、护目镜,D、防滑鞋,,,
607,A、防火屏障,B、保护屏障,C、防毒屏障,,,,
608,A、售票处,B、出口处,C、易于为乘客注意的显著位置,,,,
609,A、电气照明,B、使用电话,C、使用明火,,,,
610,A、预防为主，常备不懈的方针,B、统一领导，措施果断的方针,C、依靠科学，加强合作的方针,D、统一领导，分级负责的方针,,,
612,A、全面责任,B、主要责任,C、领导责任,,,,
615,A、倒车行驶,B、快速行使,C、慢速前进,,,,
616,A、20,B、30,C、40,,,,
617,A、人体接受电流遭到电击,B、烧伤,C、电休克,D、救援不及时,,,
618,A、电动工具,B、乙炔气瓶,C、灭火器,D、可燃气体探测仪,,,
619,A、提高生产经济效益,B、增强员工安全意识,C、安全生产，人人有责,D、提高社会效益,,,
621,A、注意安全,B、当心触电,C、有人作业，禁止合闸,D、请勿靠近,,,
622,A、灰色,B、黄色,C、红色,D、蓝色,,,
623,A、预防、准备、响应、恢复,B、策划、准备、响应、评审,C、策划、响应、恢复、预案管理,D、预防、响应、恢复、评审,,,
624,A、立即营救受害人员,B、迅速控制事态发展,C、进行应急能力评估,D、进行事故危害程度评估,,,
626,A、推拉式,B、向内开启式,C、向外开启式,,,,
630,A、1,B、2,C、5,D、10,,,
632,A、0.5,B、1,C、1.5,D、2,,,
636,A、从棚架,B、从指定的路线,C、从安全绳,,,,
639,A、2002年10月1日,B、2002年6月29日,C、2002年11月1日,,,,
643,A、企业签发的电工上岗证,B、职业技能机构核发的电工等级证,C、工作票,D、安全生产监督管理部门核发的特种作业人员操作证,,,
649,A、漏电保护器既可用来保护人身安全，还可用来对低压系统或设备的对地绝缘状况起到监督作用。,B、漏电保护器安装点以后的线路不可对地 绝缘。,C、漏电保护器在日常使用中不可在通电状 态下按动实验按钮来检验其是否灵敏可靠。,,,,
650,A、16.5%,B、18%,C、19.5%,D、21%,,,
651,A、1－－2,B、3－－5,C、5－－7,,,,
652,A、危险作业,B、高难度作业,C、特种作业,,,,
655,A、颠倒筒身筒盖朝下,B、筒盖向上不宜过度倾斜,C、筒身水平盖对着火源,D、筒身与地成倾斜45°角，喷咀对着火源。,,,
656,A、触电事故,B、电压波动,C、超负荷运行,D、电压过大,,,
658,A、30m,B、20m,C、35m,D、25m,,,
659,A、8,B、12,C、13,,,,
660,A、医疗保险待遇,B、工伤保险待遇,C、商业保险待遇,D、失业保险待遇,,,
661,A、3,B、5,C、30,,,,
662,A、形态、数量,B、生产方式、储存类型,C、协调性、干扰性,D、危险特性、数量,,,
663,A、硬底鞋,B、软底防滑鞋,C、普通胶鞋,,,,
665,A、2万元以上5万元以下,B、5万元以上10万元以下,C、5万元以上20万元以下,,,,
666,A、红外线,B、紫外线,C、激光,D、X射线,,,
668,A、变电所,B、配电室,C、电梯,D、防雷系统,,,
671,A、财产,B、物,C、人,,,,
672,A、24伏,B、36伏,C、65伏,D、110伏,,,
675,A、手套,B、防静电手环,C、防静电鞋,,,,
676,A、基础培训与训练,B、专业训练,C、战术训练,D、其他训练,,,
678,A、事后处理对策系统,B、法规管理体系,C、事故管理体系,,,,
681,A、多人,B、2支以上队伍,C、数层,,,,
682,A、A，7,B、10,C、15,,,,
685,A、光线充足,B、阴天,C、雷雨天气室外,D、通风顺畅、平稳地方,,,
686,A、用两只手操作,B、用金属物品作为救护工具。,C、用一只手操作,,,,
690,A、不同货物,B、人货,C、干湿货物,,,,
691,A、籍体侧面,B、箱体上表面,C、箱体下底面,,,,
693,A、可以,B、在确保安全的情况下可以,C、禁止,,,,
694,A、基本保安措施,B、辅助保安措施,C、绝对保安措施,,,,
695,A、经常检查,B、每月检查,C、每周检查,,,,
696,A、0.2m,B、0.25m,C、0.3m,D、0.35m,,,
700,A、1m、2.5m,B、1.5m、2m,C、1m、2m,D、1.5m、2.5m,,,
701,A、36伏,B、65伏,C、25伏,,,,
702,A、用二氧化碳灭火器灭火,B、用泡沫灭火器灭火,C、用水灭火,,,,
703,A、继续进行人工呼吸，且人工呼吸应与其自然呼吸的节律一致,B、继续进行人工呼吸，但人工呼吸应与其自然呼吸的节律相反,C、立即停止人工呼吸,,,,
704,A、双手扑打,B、大声呼救,C、就地打滚,,,,
706,A、低挂高用,B、高挂高用,C、高挂低用,,,,
707,A、不宜,B、迅速,C、争取,,,,
709,A、车间平面图,B、各主管之间的联系方式,C、安全通道及消防器材摆放图,,,,
710,A、最高温度,B、最低湿度,C、最低温度,,,,
711,A、民事,B、行政,C、刑事,,,,
713,A、2,B、3,C、4,,,,
714,A、1,B、3,C、5,D、10,,,
715,A、管好、修好、养好,B、管好、用好、养好,C、修好、用好、管好,D、修好、用好、养好,,,
718,A、缓缓而行,B、跑步离开,C、爬行出门,,,,
719,A、E类火灾,B、C类火灾,C、A类火灾,,,,
720,A、二氧化碳灭火器,B、二氧化碳泡沫灭火器,C、干粉灭火器,,,,
721,A、先救人、后灭火,B、先控制、后消灭,C、集中兵力打歼灭战,,,,
724,A、1.2米,B、1.3米,C、1.4米,,,,
725,A、0.8,B、1.0,C、1.2,,,,
729,A、窒息作用,B、化学抑制作用,C、冷却作用,,,,
732,A、二氧化碳灭火器和泡沫灭火器配置在同一场所,B、ABC干粉灭火器和BC干粉灭火器配置在同一场所,C、清水灭火器和ABC干粉灭火器配置在同一场所,,,,
733,A、泡沫灭火器,B、二氧化碳灭火器,C、碳酸氢钠干粉灭火器,,,,
734,A、3,B、4,C、5,D、6,,,
735,A、二氧化碳灭火器,B、ABC干粉灭火器,C干粉灭火器,,,,
736,A、10层的居民建筑,B、地下、半地下建筑,C、高度为30米的公共建筑,,,,
739,A、水受热蒸发产生水蒸气稀释空气，使氧的含量减少,B、水大量吸收燃烧产生的热量，使着火物的温度降到燃点以下,C、水附着在着火物表面，使可燃物不与空气接触,,,,
740,A、乙醇,B、苯,C、丙酮,,,,
741,A、乙醚,B、甲醇,C、苯,,,,
742,A、4.0%,B、4.2%,C、4.5%,,,,
743,A、关闭石油气瓶阀门后再用干粉灭火器灭火,B、用二氧化碳灭火器扑灭火焰后随即关闭石油气瓶阀门,C、只用二氧化碳灭火器扑灭火焰,,,,
745,A、在书库里配置BC干粉灭火器,B、在配电房配置泡沫灭火器,C、在电子计算机房配置二氧化碳灭火器,,,,
749,A、纯铜,B、不锈钢,C、含铜量少于70%的铜合金,,,,
750,A、至少每两小时一次,B、至少每三小时一次,C、至少每四小时一次,,,,
752,A、至少每半年,B、至少每一年,C、至少每两年,,,,
758,A、金属火灾,B、固体物质火灾,C、液体火灾或可熔化固体物质火灾,,,,
760,A、可燃气体与空气混合形成的爆炸性混合物爆炸,B、可燃气体恢复燃烧,C、可燃气体泄漏污染环境,,,,
762,A、6千伏变压器着火用二氧化碳灭火器带电灭火,B、380伏电动机着火用二氧化碳灭火器带电灭火,C、电视机着火用泡沫灭火器带电灭火,,,,
764,A、水剂,B、泡剂,C、化学粉剂,,,,
765,A、爆炸,B、导电,C、助燃,,,,
766,A、有盖的金属容器,B、无盖的金属容器,C、有盖的玻璃容器,,,,
768,A、工厂出路门须向内开入,B、工厂出路门须向外开出,C、工厂出路门应拆去,,,,
769,A、氯气,B、沼气,C、氮气,,,,
770,A、油渣,B、火水,C、电油,,,,
777,A、尽快乘搭电梯离开,B、循走火通道离开,C、应保持镇定，守秩序地乘搭电梯离开,,,,
780,A、分子分解,B、光波传送,C、辐射,,,,
781,A、相关方,B、职工,C、顾客,D、社会,,,
782,A、上风位,B、下风位,C、任何位置,,,,
783,A、大叫救命，收拾重要对象后才逃生,B、发出警报、在安全情况下试图扑救及尽快疏散逃生,C、应拿灭火筒奋不顾身去扑灭猛烈的火,,,,
786,A、储存易燃品的地方须严禁吸烟,B、喷油房内严禁携带易燃液体,C、限制在隔烟间内才可生火煮食,,,,
787,A、开动紧急照明装置,B、开动火警侦测器,C、开动消防泵来加压供水,,,,
789,A、昂首挺胸步行前进,B、缓步跑离开浓烟范围,C、设法蹲低或贴近地面爬行,,,,
790,A、隔离法,B、吹风法,C、冲击法,,,,
791,A、减少易燃蒸气的产生,B、防止静电的产生,C、减低易燃蒸气的积聚,,,,
792,A、立即躺下，用纤维织物包住身体在地上滚动,B、将门关上，用毛毡将门底的空隙塞住，立即致电报警及走向近街的窗前呼救,C、将门和窗打开，立即致电报警,,,,
793,A、一种可燃蒸气和空气混合能着火或引燃爆炸的浓度范围的上或下限,B、一种物质与空气接触发生起火或引起自燃的最低温度,C、一种液体能释出足够可燃蒸气与空气混合，可被火花点燃的最低温度,,,,
794,A、书,B、刀具,C、烟草和其它可燃物品,,,,
795,A、防止烟火蔓延,B、装饰入口处,C、用来储物,,,,
796,A、防冲击眼镜,B、棉纱手套,C、防砸皮鞋,,,,
797,A、帆布面胶底鞋,B、钉了铁鞋码的胶底皮鞋,C、导电鞋,,,,
800,A、冲床操作工,B、剪床操作工,C、钻床操作工,,,,
801,A、袖口扣紧,B、天冷时穿戴围巾,C、天热时解开外衣扣子,,,,
802,A、防毒口罩,B、防尘口罩,C、十二层的纱布口罩,,,,
804,A、皮革手套,B、棉手套,C、两者同样适宜,,,,
805,A、护眼罩,B、护耳罩,C、安全帽,,,,
806,A、耳塞,B、护耳罩,C、棉花球,,,,
808,A、先通过听力测验,B、戴上护耳用具,C、保持肃静,,,,
809,A、该产品是中国及英国共同研究出来的产品,B、该产品已获得英国质量管理颁发合格证书,C、该产品的制造及测试已符合欧盟标准,,,,
811,A、同一水平,B、低挂高用,C、高挂低用,,,,
813,A、防止在湿滑地面滑倒,B、防止物体下堕时压伤脚趾,C、避免因地面不平而绊倒,,,,
816,A、鞋头有钢帽，鞋底有钢片夹层及防滑,B、鞋面用名贵材料，鞋底耐磨,C、鞋能散热耐寒，透气舒适,,,,
818,A、脚部,B、腰部,C、胸部,,,,
819,A、反光外套或挂带,B、救生圈,C、护目镜,,,,
821,A、减低下堕时冲力,B、避免与头部碰撞,C、防堕缓冲器于低位会失去作用,,,,
826,A、净化空气式防毒面罩,B、反光衣,C、供气式呼吸器,,,,
828,A、随意点,B、水喉位,C、牢固的混凝土结构,,,,
831,A、人的不安全行为,B、物的不安全状态,C、缺乏安全管理制度,,,,
834,A、体系认证指导委员会,B、国家认可的体系认证服务机构,C、体系审核员注册委员会,,,,
836,A、基础设施,B、安全设施,C、安全卫生设施,,,,
839,A、危险化学品生产企业,B、机械制造企业,C、食品生产企业,,,,
840,A、减少故障和失误,B、隔离,C、个人防护,,,,
843,A、起重机的吊物坠落造成的伤害,B、工人在起重机操作室外不慎坠落伤害,C、起重机由于地基不稳突然倒塌造成的伤害,,,,
844,A、立即处理，对不能处理的及时报告单位负责人,B、提交处理意见经企业负责人审批后处理,C、报告并请示单位负责人处理意见,,,,
847,A、接受企业安全文化的理念,B、熟悉企业的安全生产制度和掌握安全生产的知识与技能,C、掌握生产技术知识和操作技能,,,,
848,A、选择自己有需要的课程，参加培训,B、必须参加并通过学习提高自己的安全素质,C、按自己的兴趣自由参加,,,,
850,A、怀孕七个月以上的职工和哺乳未满一周岁婴儿的职工,B、未成年工,C、已婚待孕的女职工,,,,
851,A、女性未成年工,B、50岁以上的女职工,C、经期、孕期、哺乳期的女职工,,,,
852,A、总经理,B、厂长,C、董事会,,,,
853,A、火灾报警器更新,B、加工机床的维修,C、防尘口罩的配备,,,,
856,A、展示安全政策于工厂显眼地方，令员工明白来配合,B、以遵从法例标准为最高要求,C、将安全管理的工作交由前线员工负责,,,,
859,A、聘请安全主任(安全工程师),B、实施安全管理,C、添置安全设备,,,,
864,A、争取员工的合作和支持,B、希望审核前把一切不安全的事项做好,C、希望员工在审核期间要严守安全规则,,,,
872,A、安全推广,B、意外调查,C、安全培训,,,,
873,A、该工作有多少人参与,B、曾触犯法例之次数,C、危害所引致意外后果的严重性,,,,
874,A、没有履行安全措施,B、物体本身的缺点,C、个人防护装备的缺失,,,,
875,A、可助尽快复工,B、减少意外所造成伤亡和损失,C、减轻预防工作,,,,
876,A、安全计划,B、安全委员会职能,C、安全部门职务,,,,
878,A、给工人在空闲时间阅读单张刊物的宣传手法,B、安全训练部门季节性的大型推广活动,C、管工对一小组工人作针对性的简短安全训练,,,,
879,A、安全审核,B、意外调查,C、意外分析,,,,
880,A、报告上级,B、带备药物,C、受过训练和确定有能力执行相关工作,,,,
883,A、噪声源,B、噪音传播途径,C、保护工人,,,,
884,A、85分贝,B、88分贝,C、91分贝,,,,
885,A、25℃,B、20℃,C、15℃,,,,
888,A、苯,B、氯,C、锰,,,,
890,A、消声,B、阻尼,C、吸声,,,,
892,A、鄂式破碎机破碎石灰石时产生的,B、熔炼铜时，熔融的铜蒸发到空气后冷却产生的,C、面粉包装装袋过程中产生的,,,,
893,A、高温高湿,B、高温强热辐射,C、暑天户外作业,,,,
896,A、射频辐射,B、非电离辐射,C、电离辐射,,,,
899,A、保护和改善环境，防治污染和其他公害,B、保障公众健康,C、促进社会主义现代化建设的发展,D、推进生态文明建设，促进经济社会可持续发展,,,
900,A、次日；按日连续处罚,B、三日；按月连续处罚,C、五日；按季连续处罚,D、七日；按年连续处罚,,,
901,A、高温作业,B、粉尘作业,C、操作风动凿岩机进行凿岩作业,,,,
905,A、粉尘作业,B、放射性作业,C、高温作业,,,,
907,A、发现有职业禁忌的劳动者，不让其从事其所禁忌的作业,B、了解劳动者原有的健康状况,C、发现患有慢性病的人员,,,,
908,A、接受健康检查的劳动者,B、聘用劳动者的单位,C、聘用劳动者的单位与劳动者按一定比例分担,,,,
909,A、政府为主,B、公众参与,C、部门配合,D、社区配合,,,
910,A、三种,B、二种,C、一种,,,,
913,A、让工人看牙医检查是否牙周炎,B、让工人多喝点凉茶去火气,C、首先让工人到职业病防治医院检查是否苯中毒,,,,
914,A、环境噪声标准,B、环境噪声排放标准,C、建筑施工厂界环境噪声排放标准,D、市区噪音标准,,,
915,A、12315,B、12369,C、12350,D、110,,,
916,A、废油漆桶,B、废油桶,C、医疗废弃物,D、餐厨垃圾,,,
918,A、失聪,B、肝病,C、贫血病,,,,
919,A、烧焊操作,B、长时间使用精细光学仪器,C、接触刺激性化学品,,,,
920,A、空气污染,B、噪音,C、高温,,,,
921,A、节省电力能源,B、减低眩光和控制光线分布,C、改善散热效率,,,,
922,A、采用工程控制方法，降低噪音,B、提供合适的听觉保护器,C、支付听力测试和诊治的费用,,,,
923,A、50,B、55,C、60,D、65,,,
924,A、用火试,B、肥皂水,C、闻气味,D、用清水,,,
926,A、穿工作服,B、佩戴呼吸器具,C、使用无毒或低毒的代替品,D、加强日常检查,,,
927,A、佩戴合格耳塞,B、架设噪音屏障,C、装置吸声物料,,,,
928,,,,,,,
929,A、含金属纤维的工作服,B、防油污工作服,C、合成纤维工作服,D、带反光条的工作服,,,
931,A、12,B、14,C、16,D、18,,,
932,A、12,B、36,C、50,D、100,,,
933,A、佩戴个人防护装备,B、以湿洒方法控制尘埃飞扬,C、定期检查身体,,,,
936,A、6,B、12,C、24,D、36,,,
940,A、铅尘,B、木屑,C、热衰竭,,,,
942,A、员工安全培训,B、工作调配,C、局部性抽气系统的采用,,,,
943,A、1,B、2,C、3,D、4,,,
944,A、生产企业,B、经营企业,C、运输企业,D、使用单位,,,
945,A、辐射强度,B、接触时间,C、风速,,,,
946,A、公安消防部门,B、负责危险化学品安全监督管理工作的部门,C、人民政府,D、环保部门,,,
948,A、氧气,B、氮气,C、氯气,,,,
949,A、黑色,B、黄绿双色,C、灰色,D、红色,,,
950,A、帆布,B、橡胶,C、棉布,D、化纤,,,
953,A、国家级,B、省级,C、地市级,D、县区级,,,
955,A、国务院,B、省级,C、地市级,D、县区级,,,
959,A、30,B、60,C、90,D、105,,,
961,A、二氧化碳,B、氧气,C、有机蒸气,,,,
963,A、彻底,B、全面,C、综合,D、统筹,,,
965,A、2年,B、3年,C、5年,D、8年,,,
966,A、安管人员   岗位工人,B、车间主任   班组长,C、车间主任   岗位工人,D、班组长     岗位工人,,,
967,A、安全管理部门,B、工会,C、党委工作部,D、生产技术部门,,,
969,A、1：10：100,B、1：29：300,C、1：50：300,D、1：30：100,,,
971,A、防尘口罩,B、空气呼吸器,C、防毒面具,D、氧气瓶,,,
972,A、0.5,B、1,C、1.5,D、2,,,
973,A、30,B、45,C、60,D、75,,,
974,A、18%,B、20%,C、21.5%,D、23.5%,,,
976,A、通风欠佳,B、通风良好,C、光线充足,,,,
978,A、控制可燃物,B、降低车间温度,C、提供新鲜空气,D、防止环境,,,
979,A、拆除作业人员戴安全帽、系安全带、穿软底鞋,B、上下同时进行拆除作业,C、拆下的材料用绳索绑扎牢固后由高处放下,,,,
982,A、电梯井道内安装导轨,B、高层建筑楼顶水池内贴瓷片,C、脚手架拆除,,,,
983,A、卷扬机运行时，卷筒上钢丝绳重迭，操作工用脚将钢丝绳踩平,B、工间休息时，将吊笼降到地面,C、操作工跨越运行的卷扬机,,,,
985,A、施工技术指标,B、施工进度计划,C、节约材料措施,D、安全技术措施和专项方案,,,
987,A、四,B、八,C、十三,D、二十,,,
989,A、3米,B、3.5米,C、4米,D、4.5米,,,
990,A、10°,B、15°,C、20°,D、25°,,,
996,A、上手推料,B、下手拉料,C、上下手同时进行,D、上下手不动,,,
997,A、必须自上而下逐层进行，严禁上下同时作业,B、可以上下同时拆除,C、由下部往上部逐层拆除,D、对不需要的部分，可以任意拆除,,,
999,A、1,B、2,C、3,D、6,,,
1000,A、先勘探，后设计，再施工,B、先计划，后设计，再预算,C、先预算，后勘探，再设计,D、先设计，后勘探，再施工,,,
1004,A、工作零线连接,B、相线连接,C、重复地线连接,D、专用保护零线连接,,,
1009,A、负荷开关,B、电源,C、电流,D、闸刀,,,
1012,A、无证排污,B、危废未交有资质单位处置,C、垃圾堆放在河道漫滩地,D、利用渗坑偷排,,,
1013,A、环境保护税,B、矿产资源税,C、排污费,D、污染费,,,
1014,A、分公司发生突发环境事件时，应立即启动突发环境事件应急预案，采取切断或控制污染源及其他防止危害扩大的必要措施，不需要向可能受污染影响的周边单位或居民通报。,B、环境风险发生重大变化，需要重新进行环境风险评估，但不需要对应急预案进行修订。,C、环境应急预案经评审或论证符合要求的，由安全总监签发。,D、突发环境事件处置后，应对应急预案的适宜性进行评审，并依据评审结果对预案进行修改完善。,,,
1016,A、各部门有关危险废物台账记录等资料须至少保留3年,B、工程施工过程中产生的建筑垃圾可以混入工业固废处置,C、医疗废物也属于危险废物,D、需跨省转移危险废物的，可在审批备案手续批准前转移处置,,,
1017,A、洗车点的废水收集经隔油池沉淀后，可排向雨水管道,B、食堂的污水经过隔油池隔离沉淀后，可排向生活污水管道,C、为了方便洗手，在现场办附近新增自来水管道,D、厂区、生活区内的化粪池可由后勤处自行清理,,,
1018,A、地方环境标准不能与国家环境标准相冲突，而且地方标准必须严于国家标准,B、地方环境质量标准是由地方环境保护行政主管部门制定的,C、国家标准适用于全国范围，地方标准只适用于颁布该标准的省、自治区、直辖市范围内,D、凡颁布了地方污染物排放标准的地区，执行地方标准；地方标准未作规定的，执行国家标准,,,
1019,A、2年,B、5年,C、8年,D、10年,,,
1020,A、晚22点-晨6点,B、晚24点-晨6点,C、晚22点-晨7点,D、晚24点-晨7点,,,
1021,A、向危险废物移出地的省、自治区、直辖市人民政府生态环境主管部门申请,B、向危险废物转入地的省、自治区、直辖市人民政府生态环境主管部门申请,C、向生态环境部申请,D、不需要申请,,,
1023,A、三角形边框、绿色、白色,B、三角形边框、黄色、黑色,C、正方形边框、红色、白色,D、正方形边框、白色、红色,,,
1024,A、新建油漆车间，并配套设置VOCs治理设备，处理工艺为沸石转轮+RTO,B、新建危废仓库，并配套设置VOCs治理设备，处理工艺为活性炭吸附法+氮气脱附+冷凝回收,C、新建涂B车间，并配套设置VOCs治理设备，处理工艺为活性炭吸附+热空气还原+催化燃烧,D、加强源头减排，将4条预处理线改为水性涂料生产线,,,
1026,A、镀锌车间,B、危险品码头,C、油漆仓库,D、冲砂车间,,,
1029,A、转让给他人使用，不得收费,B、转让给他人使用，应当防止产生污染,C、未经有关部门批准，不得转让给他人使用,D、不得转让给他人使用,,,
1030,A、初期雨水收集明沟有雨水自然冲刷，所以不用定期清理,B、初期雨水可以直接排放到庙港河,C、初期雨水是指降雨前15min的雨水，不需要计入年度污水排放总量,D、洗手池下水管可以接入初期雨水收集系统,,,
1034,A、“负增长”,B、“负排放”,C、“零增长”,D、“零排放”,,,
1035,A、江河,B、海洋,C、湖泊,D、水库,,,
1036,A、化石能源,B、清洁能源,C、绿色能源,D、新能源,,,
1037,A、大气污染物排放标准,B、环境空气质量标准,C、大气污染控制技术标准,D、大气警报标准,,,
1038,A、盐酸,B、二氧化碳,C、二氧化硫,D、氯氟烃,,,
1040,A、海啸,B、全球温室效应,C、火山喷发,D、地方缺碘性甲状腺肿,,,
1042,A、重点排污单位应当按照国家有关规定和监测规范安装使用监测设备，保证监测设备正常运行，保存原始监测记录,B、严禁通过暗管、渗井、渗坑、灌注或者篡改、伪造监测数据，或者不正常运行防治污染设施等逃避监管的方式违法排放污染物,C、企业事业单位和其他生产经营者向大气排放污染物的，只要符合排放浓度标准就行，不需要对大气污染物排放总量进行控制,D、建设项目中防治污染的设施应当符合经批准的环境影响评价文件的要求，不得擅自拆除或者闲置,,,
1045,A、次日,B、3日,C、10日,D、15日,,,
1046,A、污水  烟尘  垃圾  噪音,B、污水  烟尘  废渣  落叶,C、污水  烟尘  废渣  噪音,D、污水  烟尘  废渣  垃圾,,,
1048,A、废水、废料、噪声,B、废水、废气、废料,C、废水、废气、废渣,D、废水、废气、噪声,,,
1050,A、排污许可证  擅自投入生产,B、排污许可证  排放污染物,C、总量控制指标  擅自投入生产,D、总量控制指标  排放污染物,,,
1053,A、不可降解塑料所造成的污染,B、废纸所造成的污染,C、废包装袋所造成的污染,D、所有被抛弃的白色物质所造成的污染,,,
1054,A、清洁的分析方法,B、清洁的环境、清洁的产品、清洁的消费,C、清洁的能源、清洁的生产过程、清洁的产品,D、清洁的厂区、清洁的设备,,,
1055,A、复合型污染,B、产生雾霾,C、有利于植物的生长,D、污染室内空气,,,
